,name,c1_male,c1-10,c1-25,c2_male,c2-10,c2-25
0,glasses_0.0,0.48,1.0,0.8,0.38,0.6,0.44
1,glasses_0.1,0.5,0.7,0.68,0.48,0.3,0.44
2,glasses_0.2,0.46,0.9,0.48,0.48,0.6,0.44
3,glasses_0.3,0.44,0.4,0.52,0.44,0.4,0.4
4,glasses_0.4,0.5,0.9,0.68,0.54,0.3,0.48
5,glasses_0.5,0.52,0.9,0.68,0.5,0.3,0.36
6,glasses_0.6,0.44,0.9,0.64,0.58,0.4,0.52
7,glasses_0.7,0.56,0.4,0.44,0.6,0.7,0.72
8,glasses_0.8,0.5,0.7,0.52,0.52,0.5,0.48
9,glasses_0.9,0.4,0.4,0.4,0.44,0.5,0.56
10,glasses_1.0,0.54,0.0,0.4,0.58,0.6,0.52
