,name,c1_male,c1-10,c1-25,c2_male,c2-10,c2-25
0,Male_0.0,0.94,0.9,0.96,0.62,0.5,0.6
1,Male_0.1,0.82,1.0,0.96,0.52,0.3,0.6
2,Male_0.2,0.9,0.9,0.88,0.48,0.3,0.44
3,Male_0.3,0.82,0.9,0.88,0.64,0.9,0.8
4,Male_0.4,0.82,1.0,0.92,0.4,0.5,0.4
5,Male_0.5,0.66,0.9,0.8,0.7,0.9,0.84
6,Male_0.6,0.74,1.0,0.92,0.68,0.9,0.84
7,Male_0.7,0.6,1.0,0.76,0.68,1.0,0.76
8,Male_0.8,0.66,0.8,0.8,0.72,0.9,0.76
9,Male_0.9,0.56,0.8,0.68,0.6,0.8,0.76
10,Male_1.0,0.78,0.8,0.76,0.72,0.8,0.8
